Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Moses Moody,SG,66,17.5,8.1,2.9,6.4,46.2,1.1,3.0,36.0,1.1,1.4,78.5,3.0,0.9,0.6,0.4,0.7,0,0
Dario Saric,PF,64,17.2,8.0,2.8,6.1,46.6,1.2,3.1,37.6,1.2,1.5,84.9,4.4,2.3,0.5,0.2,1.2,2,0
Nickeil Alexander-Walker,SG,82,23.4,8.0,2.9,6.6,43.9,1.6,4.1,39.1,0.6,0.8,80.0,2.0,2.5,0.8,0.5,0.9,0,0
Sam Merrill,SG,61,17.5,8.0,2.6,6.4,40.2,2.3,5.8,40.4,0.4,0.5,92.9,2.0,1.8,0.3,0.1,0.3,0,0
Trayce Jackson-Davis,F,68,16.6,7.9,3.4,4.9,70.2,0.0,0.0,0.0,1.1,1.9,56.1,5.0,1.2,0.4,1.1,0.7,6,0
Jordan Hawkins,G,67,17.3,7.8,2.6,6.8,38.2,1.6,4.4,36.6,1.0,1.2,83.8,2.2,1.0,0.3,0.1,0.6,0,0
Isaiah Hartenstein,C,75,25.3,7.8,3.1,4.9,64.4,0.0,0.0,33.3,1.5,2.1,70.7,8.3,2.5,1.2,1.1,1.2,10,0
Royce O'Neale,PF,79,24.7,7.7,2.7,6.8,39.7,2.0,5.3,37.0,0.3,0.4,68.6,4.8,2.8,0.7,0.6,0.9,4,0
Precious Achiuwa,PF,74,21.9,7.6,3.2,6.3,50.1,0.4,1.3,26.8,0.9,1.5,61.6,6.6,1.3,0.6,0.9,1.1,9,0
Toumani Camara,F,70,24.8,7.5,2.8,6.3,45.0,0.8,2.5,33.7,1.1,1.4,75.8,4.9,1.2,0.9,0.5,1.2,2,0
Cameron Payne,PG,78,16.7,7.4,2.7,6.2,43.2,1.3,3.4,39.0,0.7,0.9,86.6,1.5,2.6,0.5,0.1,0.8,1,0
Paul Reed,F,82,19.4,7.3,3.2,5.9,54.0,0.3,0.7,36.8,0.7,1.0,71.8,6.0,1.3,0.8,1.0,0.8,8,0
Christian Braun,G,82,20.2,7.3,2.7,5.9,46.0,0.8,2.0,38.4,1.1,1.6,69.4,3.7,1.6,0.5,0.4,0.7,2,0
Jaden Hardy,G,73,13.5,7.3,2.7,6.6,40.7,1.1,3.1,36.2,0.8,1.0,77.6,1.8,1.5,0.3,0.1,0.8,0,0
Trey Lyles,PF,58,20.0,7.2,2.5,5.5,44.5,1.4,3.8,38.4,0.8,1.2,70.0,4.4,1.2,0.3,0.3,0.7,1,0
James Wiseman,C,63,17.3,7.1,3.0,4.8,61.3,0.0,0.0,0.0,1.1,1.6,70.6,5.3,0.9,0.2,0.6,1.0,7,0
Naji Marshall,SF,66,19.0,7.1,2.6,5.6,46.3,0.9,2.3,38.7,1.0,1.3,79.1,3.6,1.9,0.7,0.2,1.0,0,0
Vasilije Micic,G,60,19.6,7.0,2.7,6.2,43.0,0.7,2.6,27.9,1.0,1.3,81.3,1.5,4.4,0.5,0.1,1.7,4,0
Aaron Wiggins,SG,78,15.7,6.9,2.7,4.8,56.2,0.8,1.6,49.2,0.7,0.9,78.9,2.4,1.1,0.7,0.2,0.7,0,0
Trendon Watford,PF,63,13.6,6.9,2.6,4.9,52.7,0.4,1.1,39.7,1.2,1.5,79.4,3.1,1.3,0.4,0.3,1.0,1,0
Cason Wallace,G,82,20.6,6.8,2.6,5.4,49.1,1.2,2.9,41.9,0.4,0.5,78.4,2.3,1.5,0.9,0.5,0.5,0,0
Julian Champagnie,F,74,19.8,6.8,2.2,5.4,40.8,1.4,3.7,36.5,1.0,1.2,81.5,2.8,1.4,0.6,0.6,0.8,0,0
Day'Ron Sharpe,C,61,15.1,6.8,2.8,4.8,57.1,0.1,0.2,26.7,1.2,2.0,61.0,6.4,1.4,0.4,0.7,1.1,6,0
Cedi Osman,SF,72,17.6,6.8,2.6,5.3,47.9,1.2,3.1,38.9,0.5,0.7,67.3,2.5,1.7,0.5,0.2,0.7,0,0
Jonathan Isaac,PF,58,15.8,6.8,2.5,4.9,51.0,0.7,1.9,37.5,1.0,1.4,72.0,4.5,0.5,0.7,1.2,0.5,0,0
Peyton Watson,F,80,18.6,6.7,2.6,5.6,46.5,0.6,1.9,29.6,0.9,1.3,67.0,3.2,1.1,0.5,1.1,0.7,0,0
Amir Coffey,SG,70,20.9,6.6,2.4,5.0,47.2,1.0,2.6,38.0,0.9,1.0,85.9,2.1,1.1,0.6,0.2,0.5,1,0
Aaron Holiday,G,78,16.3,6.6,2.4,5.3,44.6,1.1,2.8,38.7,0.7,0.8,92.1,1.6,1.8,0.5,0.1,0.7,0,0
David Roddy,F,65,18.1,6.5,2.5,6.3,40.3,0.7,2.5,29.3,0.7,1.0,69.1,3.2,1.2,0.4,0.2,0.9,0,0
Jeff Green,PF,78,16.8,6.5,2.1,4.7,45.6,0.7,2.1,33.1,1.6,1.9,81.9,2.3,0.9,0.2,0.4,0.6,0,0
Kyle Anderson,SF,79,22.6,6.4,2.5,5.5,46.0,0.1,0.6,22.9,1.2,1.7,70.8,3.5,4.2,0.9,0.6,1.2,0,0
Isaiah Jackson,SF,60,12.9,6.4,2.6,3.9,66.5,0.0,0.1,0.0,1.2,1.7,71.6,4.0,0.8,0.6,1.0,0.7,4,0
Daniel Theis,C,60,16.9,6.3,2.6,4.9,53.2,0.4,1.2,36.6,0.6,0.8,76.0,4.1,1.0,0.4,0.9,0.7,1,0
Patrick Beverley,PG,73,20.0,6.2,2.2,5.2,41.7,0.8,2.5,33.7,1.0,1.2,82.2,3.3,2.9,0.6,0.4,0.9,2,0
Haywood Highsmith,F,66,20.7,6.1,2.3,5.0,46.5,1.2,2.9,39.6,0.3,0.5,63.9,3.2,1.1,0.8,0.5,0.5,0,0
Kris Murray,F,62,21.7,6.1,2.3,5.9,39.6,0.8,3.0,26.8,0.6,0.9,66.1,3.6,1.3,0.9,0.3,0.9,1,0
Ochai Agbaji,G,78,21.1,5.8,2.3,5.6,41.1,0.8,2.7,29.4,0.5,0.7,66.1,2.8,1.1,0.6,0.6,0.8,0,0
Dyson Daniels,G,61,22.3,5.8,2.3,5.1,44.7,0.7,2.2,31.1,0.6,0.9,64.2,3.9,2.7,1.4,0.4,1.0,1,0
Larry Nance Jr.,PF,61,19.9,5.7,2.3,4.0,57.3,0.4,1.1,41.5,0.8,1.0,77.0,5.0,1.9,1.0,0.3,0.8,2,0
Pat Connaughton,SG,76,22.1,5.6,2.0,4.6,43.5,1.1,3.1,34.5,0.6,0.8,75.9,3.1,2.1,0.5,0.3,0.6,0,0
Malachi Flynn,PG,69,12.7,5.5,2.0,4.7,41.8,0.8,2.4,33.1,0.8,1.0,73.2,1.7,1.9,0.6,0.1,0.9,0,0
Doug McDermott,SF,64,14.1,5.5,1.9,4.4,43.3,1.5,3.6,41.0,0.2,0.3,57.9,0.9,1.1,0.3,0.0,0.4,0,0
Matisse Thybulle,SG,65,22.9,5.4,1.9,4.9,39.7,1.2,3.6,34.6,0.3,0.4,75.9,2.1,1.4,1.7,0.8,0.6,0,0
Kris Dunn,G,66,18.9,5.4,2.2,4.7,47.0,0.6,1.7,36.9,0.3,0.5,68.8,2.9,3.8,1.0,0.4,1.2,1,0
Nicolas Batum,PF,60,25.5,5.3,1.9,4.3,45.3,1.2,3.1,39.5,0.3,0.4,71.4,4.1,2.1,0.8,0.6,0.7,0,0
Luke Kornet,C,63,15.6,5.3,2.3,3.2,70.0,0.0,0.0,100.0,0.8,0.9,90.7,4.1,1.1,0.4,1.0,0.3,1,0
Davion Mitchell,PG,72,15.3,5.3,2.0,4.5,45.2,0.8,2.2,36.1,0.4,0.6,71.4,1.3,1.9,0.2,0.0,0.6,0,0
Bryce McGowens,G,59,14.9,5.1,1.7,3.9,43.9,0.6,1.7,33.3,1.1,1.4,77.6,1.7,0.9,0.4,0.2,0.5,0,0
Drew Eubanks,PF,75,15.6,5.1,2.0,3.4,60.1,0.0,0.0,100.0,1.0,1.2,77.4,4.3,0.8,0.4,0.8,0.8,0,0
Goga Bitadze,C,62,15.4,5.0,2.0,3.4,60.3,0.0,0.2,14.3,0.9,1.4,65.5,4.6,1.3,0.5,1.2,0.7,5,0
Jevon Carter,PG,72,13.9,5.0,1.9,5.1,37.8,1.1,3.3,32.9,0.1,0.1,57.1,0.8,1.3,0.5,0.2,0.5,1,0
Garrison Mathews,SG,66,15.0,4.9,1.6,3.4,45.6,1.3,2.9,44.0,0.5,0.6,81.0,1.4,0.6,0.3,0.1,0.3,0,0
Kenrich Williams,SF,69,14.9,4.7,1.9,4.1,46.8,0.8,2.0,39.7,0.1,0.2,50.0,3.0,1.3,0.6,0.1,0.5,0,0
Josh Okogie,SF,60,16.0,4.6,1.4,3.4,41.7,0.5,1.6,30.9,1.3,1.7,74.5,2.6,1.1,0.8,0.4,0.6,0,0
Anthony Black,G,69,16.9,4.6,1.7,3.6,46.6,0.5,1.4,39.4,0.7,1.2,61.3,2.0,1.3,0.5,0.3,0.8,0,0
Kevon Looney,F,74,16.1,4.5,1.9,3.1,59.7,0.0,0.0,0.0,0.8,1.1,67.5,5.7,1.8,0.4,0.4,0.7,1,0
Blake Wesley,G,61,14.4,4.4,1.7,3.5,47.4,0.2,0.9,21.8,0.9,1.3,66.7,1.5,2.7,0.5,0.1,0.9,0,0
Joe Ingles,SG,68,17.2,4.4,1.5,3.3,43.6,1.0,2.4,43.5,0.4,0.5,82.4,2.1,3.0,0.6,0.1,1.0,0,0
Jaxson Hayes,C,70,12.5,4.3,1.8,2.5,72.0,0.0,0.1,0.0,0.7,1.2,62.2,3.0,0.5,0.5,0.4,0.6,2,0
Caleb Houstan,G,59,13.8,4.3,1.4,3.5,38.8,1.2,3.3,37.3,0.4,0.4,80.8,1.4,0.5,0.3,0.1,0.3,0,0
Max Christie,G,67,14.1,4.2,1.5,3.6,42.7,0.6,1.8,35.6,0.5,0.7,78.3,2.1,0.9,0.3,0.3,0.5,0,0
Troy Brown Jr.,SF,59,14.0,4.2,1.4,3.8,37.2,0.8,2.4,33.3,0.5,0.6,86.5,2.4,1.0,0.4,0.1,0.5,0,0
Jae'Sean Tate,SF,65,15.9,4.1,1.7,3.5,47.2,0.4,1.2,29.9,0.4,0.6,66.7,3.0,1.0,0.6,0.2,0.6,0,0
Justin Holiday,SF,58,14.9,4.0,1.5,3.3,45.4,0.9,2.3,40.4,0.1,0.1,75.0,1.2,1.2,0.6,0.2,0.2,0,0
Jaylin Williams,F,69,13.0,4.0,1.4,3.3,41.7,0.8,2.1,36.8,0.5,0.6,80.5,3.4,1.6,0.4,0.4,0.5,0,0
Chris Duarte,SG,59,12.2,3.9,1.4,3.6,38.1,0.7,2.2,34.6,0.4,0.6,78.8,1.8,0.7,0.5,0.1,0.4,0,0
KJ Martin,F,60,12.4,3.7,1.6,3.0,53.6,0.1,0.5,28.6,0.4,0.7,53.7,2.2,0.9,0.4,0.2,0.5,1,0
Dwight Powell,C,63,13.3,3.3,1.1,1.7,67.9,0.0,0.0,33.3,1.0,1.4,70.8,3.4,1.3,0.4,0.3,0.5,1,0
Zeke Nnaji,PF,58,9.9,3.2,1.2,2.6,46.3,0.1,0.4,26.1,0.7,1.1,67.7,2.2,0.6,0.3,0.7,0.5,0,0
JT Thor,F,63,12.4,3.2,1.3,2.9,43.7,0.4,1.3,34.6,0.2,0.3,55.0,2.3,0.5,0.2,0.4,0.2,0,0
Dalen Terry,F,59,11.5,3.1,1.2,2.7,43.9,0.3,1.3,23.0,0.4,0.7,58.1,1.9,1.4,0.5,0.3,0.5,0,0
Joel Embiid,C,39,33.6,34.7,11.5,21.8,52.9,1.4,3.6,38.8,10.2,11.6,88.3,11.0,5.6,1.2,1.7,3.8,30,2
Donovan Mitchell,SG,55,35.3,26.6,9.1,19.8,46.2,3.3,9.0,36.8,5.0,5.8,86.5,5.1,6.1,1.8,0.5,2.8,6,0
Trae Young,PG,54,36.0,25.7,8.0,18.7,43.0,3.2,8.7,37.3,6.4,7.5,85.5,2.8,10.8,1.3,0.2,4.4,37,0
Ja Morant,PG,9,35.3,25.1,8.9,18.9,47.1,1.6,5.7,27.5,5.8,7.1,81.3,5.6,8.1,0.8,0.6,3.0,3,0
Julius Randle,PF,46,35.4,24.0,8.6,18.2,47.2,1.7,5.3,31.1,5.1,6.6,78.1,9.2,5.0,0.5,0.3,3.5,18,1
LaMelo Ball,PG,22,32.3,23.9,8.3,19.2,43.3,3.2,9.0,35.5,4.1,4.7,86.5,5.1,8.0,1.8,0.2,3.8,7,1
Desmond Bane,SG,42,34.4,23.7,8.6,18.5,46.4,3.3,8.6,38.1,3.3,3.8,87.0,4.4,5.5,1.0,0.5,2.7,3,0
Lauri Markkanen,PF,55,33.1,23.2,7.8,16.2,48.0,3.2,8.0,39.9,4.5,5.0,89.9,8.2,2.0,0.9,0.5,1.4,19,0
Anfernee Simons,SG,46,34.4,22.6,7.8,18.2,43.0,3.4,8.8,38.5,3.5,3.9,91.6,3.6,5.5,0.5,0.1,2.7,3,0
Jerami Grant,SF,54,33.9,21.0,7.1,15.7,45.1,2.1,5.1,40.2,4.7,5.8,81.7,3.5,2.8,0.8,0.6,2.1,1,0
Tyler Herro,PG,42,33.5,20.8,7.7,17.5,44.1,3.1,7.9,39.6,2.3,2.6,85.6,5.3,4.5,0.7,0.1,2.2,2,0
Kristaps Porzingis,C,57,29.6,20.1,6.8,13.2,51.6,1.9,5.1,37.5,4.5,5.3,85.8,7.2,2.0,0.7,1.9,1.6,13,0
Zach LaVine,SG,25,34.9,19.5,6.8,15.0,45.2,2.4,6.8,34.9,3.5,4.1,85.4,5.2,3.9,0.8,0.3,2.1,1,0
Bradley Beal,SG,53,33.3,18.2,7.1,13.9,51.3,1.9,4.4,43.0,2.1,2.5,81.3,4.4,5.0,1.0,0.5,2.5,3,0
Darius Garland,PG,57,33.3,18.0,6.6,14.8,44.6,2.3,6.2,37.1,2.6,3.1,83.4,2.7,6.5,1.3,0.1,3.1,6,0
Jordan Clarkson,PG,55,30.6,17.1,6.1,14.8,41.3,1.7,5.6,29.4,3.2,3.7,88.1,3.4,5.0,0.6,0.1,2.7,6,1
Deandre Ayton,C,55,32.4,16.7,7.8,13.6,57.0,0.0,0.2,10.0,1.2,1.4,82.3,11.1,1.6,1.0,0.8,1.8,32,0
Jalen Johnson,SF,56,33.7,16.0,6.4,12.5,51.1,1.3,3.6,35.5,1.9,2.6,72.8,8.7,3.6,1.2,0.8,1.8,19,1
Shaedon Sharpe,SG,32,33.1,15.9,5.5,13.6,40.6,1.9,5.6,33.3,3.1,3.7,82.4,5.0,2.9,0.9,0.4,2.3,1,0
Malcolm Brogdon,PG,39,28.7,15.7,5.6,12.7,44.0,2.1,5.1,41.2,2.4,3.0,81.9,3.8,5.5,0.7,0.2,1.5,4,0
Evan Mobley,PF,50,30.6,15.7,6.4,11.0,57.9,0.4,1.2,37.3,2.5,3.4,71.9,9.4,3.2,0.9,1.4,1.8,22,0
De'Andre Hunter,SF,57,29.5,15.6,5.3,11.6,45.9,2.1,5.3,38.5,2.9,3.4,84.7,3.9,1.5,0.7,0.3,1.5,3,0
Bojan Bogdanovic,SF,57,25.9,15.2,5.4,11.9,45.4,2.3,5.9,39.8,2.1,2.6,78.5,2.7,1.7,0.5,0.1,1.8,1,0
Khris Middleton,SF,55,27.0,15.1,5.8,11.7,49.3,1.7,4.5,38.1,1.8,2.2,83.3,4.7,5.3,0.9,0.3,2.3,5,1
Trey Murphy III,SG,57,29.6,14.8,4.8,10.9,44.3,3.0,7.8,38.0,2.2,2.6,81.5,4.9,2.2,0.9,0.5,0.6,1,0
OG Anunoby,SF,50,34.0,14.7,5.6,11.5,48.9,2.0,5.3,38.2,1.3,1.8,75.3,4.2,2.1,1.4,0.7,1.6,0,0
GG Jackson,F,48,25.7,14.6,5.0,11.7,42.8,2.1,6.0,35.7,2.4,3.2,75.2,4.1,1.2,0.6,0.5,1.4,2,0
Marcus Smart,PG,20,30.3,14.5,5.1,11.9,43.0,2.1,6.7,31.3,2.2,2.8,76.8,2.7,4.3,2.1,0.3,3.1,0,0
Scotty Pippen Jr.,G,21,25.1,12.9,4.8,9.7,49.3,1.4,3.4,41.7,2.0,2.6,74.5,3.2,4.7,1.7,0.5,2.7,0,0
Mark Williams,C,19,26.7,12.7,5.2,7.9,64.9,0.0,0.0,0.0,2.4,3.4,71.9,9.7,1.2,0.8,1.1,0.9,8,0
Cam Whitmore,F,47,18.7,12.3,4.5,9.9,45.4,1.7,4.7,35.9,1.6,2.4,67.9,3.8,0.7,0.6,0.4,1.0,1,0
Javonte Green,G,9,25.6,12.2,5.0,8.3,60.0,1.1,3.0,37.0,1.1,1.4,76.9,7.4,0.6,1.1,0.9,0.8,1,0
Marvin Bagley III,PF,50,21.1,11.7,4.8,8.2,58.6,0.2,0.5,39.1,1.9,2.5,76.2,6.2,1.1,0.4,0.7,1.2,10,0
Brandon Clarke,PF,6,22.3,11.3,5.5,9.8,55.9,0.2,1.0,16.7,0.2,1.2,14.3,5.3,1.5,0.8,1.0,0.5,0,0
Jakob Poeltl,C,50,26.4,11.1,5.0,7.6,65.6,0.0,0.0,0.0,1.2,2.1,55.1,8.6,2.5,0.7,1.5,1.5,20,0
De'Anthony Melton,SG,38,26.9,11.1,3.7,9.5,38.6,2.0,5.6,36.0,1.7,2.1,83.5,3.7,3.0,1.6,0.4,1.0,0,0
Luke Kennard,SG,39,25.6,11.0,3.6,8.1,44.8,2.7,6.1,45.0,1.0,1.2,88.9,2.9,3.5,0.5,0.1,1.4,0,0
Wendell Carter Jr.,C,55,25.6,11.0,4.1,7.7,52.5,1.2,3.1,37.4,1.7,2.4,69.4,6.9,1.7,0.6,0.5,1.2,9,0
Isaiah Stewart,C,46,30.9,10.9,4.0,8.3,48.7,1.5,3.8,38.3,1.4,1.8,75.3,6.6,1.6,0.4,0.8,1.4,5,0
Jake LaRavia,F,35,23.0,10.8,3.4,8.7,38.9,1.5,4.5,34.0,2.6,3.1,82.6,3.7,1.7,0.8,0.3,1.3,2,0
Dalano Banton,G,54,19.4,10.3,3.7,9.3,40.4,1.1,3.7,29.6,1.7,2.2,78.3,3.3,2.4,0.6,0.4,1.4,2,0
Onyeka Okongwu,PF,55,25.5,10.2,4.1,6.6,61.1,0.4,1.3,33.3,1.7,2.1,79.3,6.8,1.3,0.5,1.1,0.8,8,0
Talen Horton-Tucker,SF,51,19.8,10.1,3.6,9.1,39.6,1.2,3.6,33.0,1.7,2.1,80.7,2.4,3.5,0.9,0.4,1.3,1,0
Vince Williams Jr.,G,52,27.6,10.0,3.3,7.3,44.6,1.5,4.0,37.8,2.0,2.5,80.0,5.6,3.4,0.9,0.7,1.8,3,0
Patrick Williams,PF,43,27.3,10.0,3.7,8.3,44.3,1.4,3.4,39.9,1.2,1.5,78.8,3.9,1.5,0.9,0.8,1.3,0,0
Josh Richardson,SG,43,25.7,9.9,3.6,8.1,44.4,1.5,4.4,34.7,1.2,1.3,94.4,2.8,2.4,0.6,0.3,0.8,0,0
Gordon Hayward,SF,51,24.4,9.8,3.7,7.9,46.4,0.7,1.8,41.1,1.7,2.4,74.2,3.5,3.1,0.8,0.3,1.3,0,0
Tari Eason,F,22,21.8,9.8,4.0,8.6,46.6,0.8,2.3,36.0,1.0,1.5,63.6,7.0,1.2,1.4,0.9,0.9,3,0
Tre Mann,PG,41,24.1,9.3,3.5,7.7,45.9,1.1,3.1,37.3,1.1,1.4,76.3,3.6,4.0,1.2,0.1,1.6,0,0
Kevin Love,PF,55,16.8,8.8,2.9,6.5,44.0,1.5,4.4,34.4,1.5,2.0,78.7,6.1,2.1,0.3,0.2,0.9,6,0
Dereck Lively II,C,55,23.5,8.8,4.0,5.4,74.7,0.0,0.0,0.0,0.7,1.5,50.6,6.9,1.1,0.7,1.4,0.9,8,0
Draymond Green,PF,55,27.1,8.6,3.4,6.8,49.7,0.9,2.3,39.5,1.0,1.3,73.0,7.2,6.0,1.0,0.9,2.5,10,1
Tristan Vukcevic,PF,10,15.3,8.5,2.9,6.7,43.3,1.0,3.6,27.8,1.7,2.2,77.3,3.6,1.3,0.5,0.7,1.0,0,0
Ziaire Williams,F,51,20.4,8.2,2.9,7.4,39.7,1.1,3.7,30.7,1.2,1.5,82.7,3.5,1.5,0.7,0.2,1.3,1,0
Josh Green,SG,57,26.4,8.2,3.1,6.6,47.9,1.3,3.3,38.5,0.7,1.0,68.4,3.2,2.3,0.8,0.2,1.1,0,0
Derrick Rose,PG,24,16.6,8.0,3.2,6.9,46.1,0.6,1.7,36.6,1.0,1.1,88.9,1.9,3.3,0.3,0.1,1.3,0,0
Markelle Fultz,PG,43,21.2,7.8,3.6,7.6,47.2,0.1,0.4,22.2,0.5,0.8,69.7,3.2,2.8,1.0,0.3,1.2,0,0
Dante Exum,G,55,19.8,7.8,2.9,5.5,53.3,1.0,2.0,49.1,1.0,1.2,77.9,2.7,2.9,0.4,0.1,0.9,0,0
RaiQuan Gray,F,3,13.0,7.7,3.3,5.7,58.8,1.0,2.3,42.9,0.0,0.0,0.0,2.3,2.0,0.3,0.3,0.3,0,0
Nikola Jovic,F,46,19.5,7.7,2.8,6.1,45.2,1.4,3.5,39.9,0.7,1.0,70.2,4.2,2.0,0.5,0.3,0.9,0,0
Cody Martin,SF,28,26.9,7.5,2.9,7.7,38.1,1.0,3.1,31.4,0.7,1.2,60.6,3.9,3.7,1.1,0.6,1.6,1,0
Brice Sensabaugh,F,32,18.3,7.5,2.7,6.8,39.0,1.1,3.6,29.6,1.2,1.3,90.2,3.2,1.7,0.4,0.2,1.5,1,0
Taylor Hendricks,F,40,21.4,7.3,2.7,6.0,45.0,1.3,3.5,37.9,0.6,0.7,79.3,4.6,0.8,0.7,0.8,0.7,1,0
Johnny Juzang,G,20,18.6,7.2,2.6,5.5,46.4,1.6,3.9,41.6,0.5,0.7,71.4,1.8,1.2,0.2,0.1,0.7,0,0
Kevin Knox II,F,31,18.1,7.2,2.8,6.0,46.2,1.0,3.0,33.0,0.6,0.7,90.9,2.4,0.7,0.4,0.2,0.7,1,0
Lamar Stevens,F,38,14.7,7.2,2.8,6.3,45.0,0.4,1.2,30.4,1.1,1.4,77.8,3.3,0.7,0.6,0.6,0.6,0,0
Landry Shamet,SG,46,15.8,7.1,2.6,6.0,43.1,1.2,3.4,33.8,0.8,1.0,82.6,1.3,1.2,0.5,0.2,0.7,0,0
Jose Alvarado,PG,56,18.4,7.1,2.5,6.2,41.2,1.4,3.7,37.7,0.6,0.9,67.3,2.3,2.1,1.1,0.3,0.7,0,0
Quentin Grimes,SG,51,20.1,7.0,2.4,6.4,37.2,1.6,4.7,33.8,0.7,0.9,75.6,2.0,1.3,0.7,0.1,0.5,0,0
Jordan Nwora,SF,52,13.7,7.0,2.7,5.8,46.2,0.8,2.5,33.6,0.8,1.0,83.0,2.9,1.2,0.5,0.3,1.0,2,0
Javon Freeman-Liberty,G,22,18.3,7.0,2.5,5.6,44.4,0.5,1.9,23.8,1.5,1.6,91.7,3.2,1.8,0.5,0.2,1.1,0,0
Christian Wood,F,50,17.4,6.9,2.5,5.3,46.6,0.7,2.3,30.7,1.3,1.9,70.2,5.1,1.0,0.3,0.7,1.0,2,0
Bones Hyland,PG,37,14.6,6.9,2.6,6.8,38.6,1.2,3.6,32.6,0.5,0.6,78.3,1.5,2.5,0.7,0.1,1.2,1,0
Gary Harris,SG,54,24.0,6.9,2.4,5.5,44.1,1.4,3.8,37.1,0.6,0.8,75.6,1.7,1.6,0.9,0.3,0.6,0,0
Killian Hayes,G,42,24.0,6.9,2.8,6.7,41.3,0.5,1.8,29.7,0.8,1.2,66.0,2.8,4.9,0.9,0.5,1.2,0,0
Evan Fournier,SG,32,18.1,6.9,2.5,6.9,35.7,1.0,4.1,25.4,0.9,1.1,80.6,1.8,1.5,0.9,0.2,0.7,0,0
Maozinha Pereira,F,7,17.4,6.9,2.6,5.0,51.4,0.7,1.9,38.5,1.0,1.4,70.0,5.3,0.3,0.9,0.6,0.7,1,0
Trey Jemison III,C,25,23.0,6.8,3.0,5.4,55.1,0.0,0.0,0.0,0.8,1.0,84.0,5.4,1.1,0.5,1.1,1.4,1,0
Robert Williams III,C,6,19.8,6.8,2.8,4.3,65.4,0.0,0.0,0.0,1.2,1.5,77.8,6.3,0.8,1.2,1.2,1.2,0,0
Davis Bertans,SF,43,15.7,6.7,2.1,5.4,39.3,1.8,4.7,38.0,0.7,0.8,90.9,1.4,0.8,0.6,0.3,0.4,0,0
Jahmi'us Ramsey,PG,7,17.3,6.7,2.6,5.9,43.9,0.9,3.1,27.3,0.7,0.9,83.3,3.1,1.1,1.0,0.0,1.0,0,0
Dennis Smith Jr.,PG,56,18.9,6.6,2.6,6.0,43.5,0.6,1.9,29.4,0.8,1.0,74.1,2.9,3.6,1.2,0.2,1.2,3,0
Chimezie Metu,PF,51,16.8,6.5,2.4,4.8,50.4,0.5,1.8,29.8,1.1,1.3,90.6,3.8,0.9,0.8,0.3,1.0,1,0
David Duke Jr.,G,4,12.8,6.5,2.5,4.5,55.6,0.8,1.5,50.0,0.8,0.8,100.0,2.5,1.3,0.5,0.0,0.8,0,0
Jordan Goodwin,G,57,18.5,6.5,2.5,6.7,36.9,0.7,2.5,29.8,0.8,1.0,74.6,4.4,2.7,0.8,0.3,1.0,4,0
Marcus Morris Sr.,F,49,16.7,6.4,2.4,5.4,43.9,1.0,2.4,40.3,0.7,0.9,81.8,2.7,0.7,0.3,0.3,0.6,0,0
Chris Boucher,PF,50,14.1,6.4,2.2,4.3,50.7,0.6,1.9,33.0,1.4,1.8,77.2,4.1,0.5,0.3,0.5,0.6,0,0
Jared Butler,SG,40,14.2,6.3,2.5,5.0,48.8,0.6,2.0,30.8,0.8,0.9,86.1,1.5,3.2,0.7,0.2,1.3,1,0
Bruno Fernando,F,45,15.2,6.3,2.4,4.2,58.3,0.0,0.1,0.0,1.4,2.1,66.7,4.3,1.0,0.6,0.6,1.0,0,0
Jae Crowder,PF,50,23.1,6.2,2.3,5.4,42.2,1.2,3.3,34.9,0.5,0.7,72.2,3.2,1.3,0.8,0.2,0.5,0,0
Jaylen Nowell,G,13,16.5,6.2,2.6,6.0,43.6,0.5,2.2,20.7,0.5,0.7,77.8,1.8,1.5,0.3,0.2,0.5,0,0
Keon Johnson,G,5,12.2,6.2,1.6,4.2,38.1,0.8,2.0,40.0,2.2,2.4,91.7,1.4,0.6,0.6,0.2,1.0,0,0
Vit Krejci,G,22,24.6,6.1,2.3,4.7,49.0,1.3,3.1,41.2,0.2,0.3,83.3,2.4,2.3,0.6,0.3,0.9,0,0
Ben Simmons,PG,15,23.9,6.1,2.9,4.9,58.1,0.0,0.0,0.0,0.4,1.0,40.0,7.9,5.7,0.8,0.6,1.8,3,0
Zavier Simpson,G,7,23.0,6.0,2.4,7.7,31.5,0.7,2.4,29.4,0.4,0.6,75.0,2.9,3.6,1.0,0.4,1.4,0,0
Tosan Evbuomwan,F,17,21.6,5.9,2.1,4.2,50.7,0.7,1.9,37.5,1.0,1.5,68.0,3.5,0.9,0.4,0.3,0.5,0,0
Justin Champagnie,SF,15,15.7,5.9,2.1,5.2,41.0,0.9,3.0,28.9,0.8,1.0,80.0,3.5,1.3,0.7,0.6,0.7,0,0
Nick Smith Jr.,G,51,14.3,5.9,2.2,5.7,39.1,1.2,2.9,43.2,0.3,0.3,86.7,1.4,1.2,0.2,0.1,0.8,0,0
Noah Clowney,F,23,16.1,5.8,2.2,4.0,53.8,0.5,1.4,36.4,0.9,1.3,70.0,3.5,0.8,0.3,0.7,0.7,1,0
Torrey Craig,SF,53,19.8,5.7,2.0,4.7,43.0,1.1,2.9,39.2,0.5,0.7,75.0,4.1,1.1,0.6,0.4,0.6,1,0
